Time,Temperature,Change in Length
976.2728272,826.5153198,94.96468353
976.3099976,825.7021484,94.75666809
976.345398,824.8916626,94.60887146
976.3825684,824.1115723,94.3625412
976.4197388,823.0360107,94.11621094
976.4570923,821.9905396,93.8644104
976.4942017,820.6262207,93.31426239
976.5313721,818.9157105,93.11447144
976.5686646,817.9190674,93.06246185
976.6057739,817.9661255,92.99404144
976.6430054,817.5097046,92.79697418
976.6802368,816.7947388,92.62728119
976.7173462,816.0593262,92.38916779
976.7545166,814.3428955,92.03061676
976.7918091,813.3886719,91.77059174
976.8375855,812.3162842,91.55163574
976.8657837,811.90625,91.46405029
976.9029541,811.1160278,91.23414612
976.9401856,809.9788818,90.97138977
976.9772949,809.1310425,90.73053741
977.0145874,808.0267944,90.52800751
977.0517578,807.1716919,90.12839508
977.0888672,805.699646,89.87385559
977.1261597,804.7290039,89.73153687
977.1633301,804.2235107,89.60289001
977.2004395,803.8796997,89.42225647
977.2377319,802.4533691,89.18960571
977.2749023,801.5999146,88.90496063
977.3117676,800.5438232,88.69420624
977.348999,799.8448486,88.42871857
977.3861694,798.4641113,88.16323853
977.4232788,797.4406738,87.94700623
977.4605713,796.6904907,87.7636261
977.4977417,796.2581177,87.6158371
977.5348511,795.284668,87.42971802
977.5722046,794.3985596,87.18886566
977.609375,793.3468628,86.90694427
977.6465454,792.5889282,86.71535492
977.6837769,791.7835693,86.43344879
977.7209473,789.7350464,85.93530273
977.7580566,788.0956421,85.68898773
977.7952881,787.458252,85.64792633
977.8324585,787.5025024,85.56855774
977.8696289,786.6243897,85.37422943
977.9068604,786.0310669,85.14704895
977.9440308,785.0032959,84.91713715
977.9812012,784.4030762,84.66533661
978.0184326,782.9335938,84.26300049
978.0556641,780.835083,83.8332901
978.092041,779.8668213,83.77308655
978.1293335,779.5167847,83.70191193
978.1664429,779.7173462,83.62254333
978.2037354,778.8983154,83.36526489
978.2409058,777.4497681,83.10251617
978.2780762,776.7460327,82.84796906
978.3153687,776.1949463,82.61805725
978.352478,774.7147217,82.36625671
978.3896484,773.635437,82.13361359
978.427002,772.8726196,81.94202423
978.4641113,772.1061401,81.64368439
